# this is our data file
#
# there are 6 columns and 1000 rows
#
# maybe the variables are
# A B C D E F
0.59622 1.7824 0.39886 3.471 2.5354 0.66864
0.56143 2.5837 0.87694 2.3449 3.4298 0.63481
0.74409 -0.50314 0.68591 3.194 3.7951 0.19971
0.24389 1.9499 0.90661 2.2859 3.3851 0.52127
0.85795 0.79616 0.0061421 2.5026 3.4979 0.39331
0.15659 3.6112 0.51392 3.095 4.2315 0.53076
0.092128 -2.226 0.059087 3.1295 3.1027 0.41161
0.6546 -3.487 0.11041 3.3316 2.3641 0.63148
0.90238 2.1599 0.27329 2.8323 5.9408 0.050872
0.41947 1.8707 0.57901 2.524 2.271 0.87026
0.64582 1.7934 0.76776 2.6468 1.9664 0.01498
0.47958 3.8555 0.074671 3.3401 5.4171 0.4318
0.081541 0.20519 0.59273 2.6342 5.4101 0.16931
0.6448 0.75236 0.75751 2.3244 5.8096 0.65548
0.67118 1.0956 0.67873 2.9808 2.2463 0.56119
0.33371 -1.7856 0.29813 2.1688 6.1108 0.35954
0.73074 2.4136 0.76549 2.1727 3.2978 0.56803
0.4749 -0.15929 0.22781 2.0656 2.6867 0.011251
0.92211 0.53257 0.10249 3.4064 5.9931 0.085545
0.58266 0.328 0.34252 2.1621 5.1132 0.99271
0.51788 3.7153 0.6571 3.0278 5.8184 0.16724
0.65405 -1.2957 0.26625 2.2358 3.498 0.05548
0.20646 1.5289 0.69436 3.2015 6.2111 0.47777
0.63536 -0.72391 0.25745 2.3977 3.8801 0.38127
0.84725 -2.4238 0.88851 2.8143 3.2023 0.44674
0.62954 1.106 0.8523 3.4094 2.872 0.46407
0.89821 2.3965 0.61579 2.9363 2.2703 0.9371
0.50563 -0.28225 0.53231 3.0405 4.5031 0.46913
0.77379 1.4328 0.12157 2.0352 4.3843 0.91033
1.0419 -0.16561 0.79927 2.3234 3.3525 0.52855
0.41905 -0.30425 0.70991 2.4368 4.3992 0.16265
0.08473 1.3651 0.71226 3.2165 5.5443 0.74645
1.1825 -0.91829 0.29311 3.0873 3.6367 0.42787
0.64749 -1.7452 0.99155 3.2024 4.28 0.49381
0.57792 1.7437 0.53106 3.1195 3.6148 0.49771
0.41721 -0.023128 0.27144 2.7609 5.9332 0.057283
0.46351 2.1038 0.87518 3.1227 2.0181 0.60828
0.42262 -3.2764 0.64834 3.1759 1.9238 0.63278
0.78862 1.6303 0.5301 1.9671 4.7854 0.3777
0.39869 -2.2546 0.68179 2.1415 3.9113 0.55761
1.0966 3.4068 0.15915 2.6932 3.6367 0.31025
0.12489 -1.4582 0.33241 2.987 4.3598 0.27017
0.31404 1.3674 0.068434 2.9703 6.2311 0.87514
0.52443 1.9321 0.53406 2.9226 3.489 0.0023326
0.95948 2.2464 0.58548 3.0437 3.6958 0.56254
0.91258 2.4782 0.7446 3.218 5.0032 0.45124
1.0423 1.9683 0.0038878 2.8134 4.9187 0.035861
0.38898 1.4645 0.88286 3.2647 5.8909 0.54935
0.54148 -0.059106 0.44379 3.4787 5.9975 0.40888
0.79456 -0.87943 0.91322 3.0658 2.092 0.38078
0.52289 -2.5735 0.11375 3.157 1.7654 0.95398
0.54042 1.9824 0.37409 3.4502 2.6859 0.083455
0.18837 -1.7715 0.15937 2.3921 3.8759 0.24112
0.56974 1.4871 0.20497 2.2892 1.9507 0.77852
0.53816 5.1561 0.65545 3.4315 3.7435 0.57791
0.61901 2.0907 0.49976 3.1533 4.4745 0.55574
0.52321 2.8111 0.32297 2.6406 4.1655 0.51012
0.43639 -1.0981 0.45919 3.2542 1.9387 0.56937
0.52979 -0.6581 0.54213 3.427 4.7567 0.31228
0.67689 -1.4501 0.95886 3.0229 5.4597 0.58649
0.40527 1.2567 0.35189 2.3823 4.75 0.20783
0.1928 2.7453 0.089002 2.4993 3.3676 0.62747
0.87184 -0.056639 0.37382 2.2935 3.0203 0.53718
0.37286 1.1985 0.33569 2.9527 5.0179 0.37944
0.55464 1.0396 0.26838 3.2799 1.6722 0.75207
0.63885 0.36557 0.62169 3.2091 6.1036 0.85561
0.64899 0.15491 0.78176 2.5275 3.7002 0.24669
0.2098 -0.57863 0.13873 3.1937 3.1617 0.76532
0.0072286 1.7701 0.76551 3.04 2.649 0.69993
0.37907 0.69326 0.35243 2.2925 5.2057 0.11685
0.35631 4.3277 0.47167 2.3079 5.0304 0.83492
0.7485 1.5857 0.66607 3.1743 2.4028 0.40303
0.48195 -1.9105 0.51 2.358 5.3289 0.60836
0.67285 -1.3581 0.18411 2.2352 5.8159 0.451
0.349 -1.5269 0.8226 3.1841 5.5951 0.66566
0.3809 2.0137 0.36449 2.3999 3.9788 0.55738
0.49032 1.3421 0.55604 2.3539 3.3665 0.38033
0.096884 -0.68863 0.66806 3.2683 2.1518 0.36233
0.65718 1.1568 0.54353 3.1378 2.241 0.40546
0.29921 3.7382 0.00072834 2.9743 4.4798 0.54328
0.37043 3.7677 0.08531 2.1932 1.9469 0.52626
0.2399 1.519 0.81356 2.2628 3.147 0.6313
0.83459 0.41735 0.22585 2.5991 3.2297 0.4587
0.60319 0.53915 0.33498 2.4393 3.4993 0.5356
0.40602 -0.42485 0.22433 3.3793 4.0201 0.31674
0.024356 -0.040012 0.82966 2.0999 5.7826 0.32609
0.81554 -0.92391 0.87613 3.17 4.57 0.54022
0.55814 2.1769 0.2025 3.0523 2.5638 0.27187
0.13886 -1.8523 0.29755 2.9512 6.2715 0.42702
0.058542 -0.041774 0.24193 3.1459 4.2072 0.33903
0.3588 1.3147 0.58519 2.3606 2.885 0.42373
0.41292 1.3055 0.19539 2.6106 3.2673 0.95496
0.19561 1.9846 0.61211 2.6317 3.9677 0.4586
0.66643 0.10311 0.3214 3.1388 2.9768 0.79446
0.60393 2.0837 0.63332 2.7341 4.2475 0.68471
0.11454 1.2204 0.72618 2.1979 2.8416 0.91266
0.485 3.1135 0.44752 3.0501 1.634 0.38755
0.48108 5.4287 0.17472 2.2185 5.5368 0.39084
0.55199 -0.0010717 0.99363 2.9879 4.8461 0.0062514
0.3683 -0.49409 0.62989 2.3924 1.8514 0.57068
0.54207 1.3944 0.81725 3.3774 4.5258 0.2179
0.74829 2.5019 0.99501 3.3947 2.0984 0.50684
0.25858 -2.3031 0.50945 3.2064 2.8612 0.15476
1.0444 4.0895 0.27653 2.5114 4.5607 0.48421
0.45733 4.8069 0.90761 3.5242 2.9056 0.60225
0.39229 0.49748 0.36213 2.8111 2.0184 0.67438
0.81935 -1.0718 0.91384 2.5249 3.4224 0.53647
0.36903 0.091907 0.056829 3.0012 1.9756 0.85537
0.69274 2.5985 0.53586 3.1078 5.8611 0.73775
0.10299 -1.9633 0.00083649 3.3398 3.1407 0.52352
0.49609 4.2466 0.18562 2.7286 3.0927 0.62212
0.50099 -3.3687 0.89454 3.2787 4.2523 0.443
0.097228 1.764 0.24633 2.273 5.6845 0.52855
1.1241 2.979 0.49558 2.1471 3.8299 0.36169
0.80657 1.1585 0.2702 3.2447 5.6848 0.79156
0.16144 -0.94105 0.77339 3.2334 5.713 0.51424
0.24169 3.6667 0.17503 2.7295 6.0168 0.71241
0.36958 -2.2504 0.11688 3.2437 2.0382 0.53867
0.60858 -0.91061 0.63172 3.3795 3.2494 0.077308
0.43379 0.70776 0.47325 2.5192 5.8458 0.94219
0.79538 -0.10866 0.37201 3.1677 5.5701 0.55252
0.4495 0.43665 0.67186 3.1809 2.0936 0.55314
0.49029 3.6666 0.284 3.0321 1.6893 0.4401
0.69738 0.082688 0.22718 2.4885 4.3771 0.54257
0.57655 1.4538 0.38189 2.6299 3.875 0.66862
0.36543 1.0085 0.93532 2.8688 1.7168 0.56199
0.33985 1.802 0.80429 2.0375 5.0665 0.50059
0.57739 3.1067 0.96412 2.4351 2.8159 0.43808
0.8333 0.84062 0.94405 3.4552 4.0484 0.16201
0.4391 -1.7624 0.84339 2.113 3.8092 0.43463
0.46311 0.2166 0.13355 2.4995 4.5899 0.064618
1.0857 2.703 0.11631 2.406 6.2104 0.66669
0.61304 1.7528 0.0623 3.1429 5.1103 0.57465
0.26113 -1.3139 0.058765 2.3951 4.4654 0.79575
0.4366 -0.21894 0.052432 3.333 4.7231 0.3712
0.26903 0.38234 0.73303 2.5088 5.2963 0.60649
0.37839 1.0674 0.34695 2.4244 5.6918 0.77415
0.22563 -0.93527 0.71101 2.1172 4.7825 0.634
0.50067 -0.2202 0.70115 3.3054 1.6957 0.55491
0.55246 3.323 0.70668 2.1585 2.4151 0.99038
0.51288 -0.64841 0.69708 2.9405 1.5884 0.82543
0.53625 2.2142 0.75513 3.439 6.0033 0.95158
-0.015187 1.0353 0.497 3.4528 3.6832 0.5878
0.66609 0.99025 0.13367 2.0379 5.5035 0.85666
0.73033 -0.045607 0.37497 2.1734 2.061 0.25464
0.72005 -1.7799 0.37831 3.054 5.1119 0.087785
0.62121 0.69044 0.024071 2.6139 2.3998 0.98094
0.60894 1.5733 0.1328 2.3129 5.2578 0.76769
0.65639 0.54533 0.47175 2.6086 6.2047 0.14937
0.46673 1.6376 0.19876 3.0909 4.4873 0.34158
0.29843 3.1494 0.23701 3.0328 2.8404 0.16122
0.33932 1.3727 0.79691 2.125 3.2969 0.39339
0.68797 3.785 0.69485 3.3906 1.6338 0.49461
0.5278 -0.23062 0.66614 3.6535 2.243 0.58619
0.10483 3.8009 0.173 2.5247 6.2493 0.44989
0.07745 4.5319 0.52145 3.2833 4.9542 0.51573
0.36101 -0.51842 0.43445 3.0579 5.6543 0.82655
0.47693 2.9813 0.76302 2.3744 5.7161 0.42319
0.32883 3.7437 0.99539 3.1214 2.2335 0.58999
0.17926 1.6088 0.48383 2.9457 5.7204 0.62049
0.39088 -2.6556 0.36063 2.2676 2.6037 0.56472
0.44454 0.20929 0.58116 2.304 2.1496 0.86161
0.53538 0.53907 0.55903 2.2044 2.2841 0.31304
0.47492 1.559 0.54576 3.1062 5.3205 0.6344
0.1799 1.023 0.99545 3.1197 3.5883 0.074498
0.30199 3.5544 0.89766 2.27 4.3088 0.54191
0.58985 2.3166 0.29824 3.1995 5.9988 0.77995
0.32964 0.046231 0.19144 3.2466 4.0864 0.27621
0.71477 2.8288 0.10724 3.0208 5.3388 0.56531
0.38245 -2.1255 0.069188 2.5647 4.9232 0.97511
0.3415 -0.31601 0.022269 3.0097 4.7775 0.019607
0.053633 3.6345 0.073597 3.075 2.5783 0.46668
0.62156 0.10054 0.72279 3.0279 4.8722 0.4963
0.67549 1.2348 0.98571 2.2935 1.8826 0.39566
0.68837 1.914 0.18235 2.2093 3.6507 0.75233
0.94982 1.9089 0.67687 3.4234 5.1905 0.70805
0.26256 -1.2844 0.33321 3.0491 3.3554 0.17105
0.60687 1.9219 0.40659 3.1433 5.5447 0.1465
0.20804 -1.3954 0.26082 3.0055 4.5593 0.35395
0.14954 6.5315 0.53813 2.3071 1.7876 0.19985
0.4418 -0.12669 0.84815 3.1594 1.9658 0.58838
0.42609 2.6014 0.19796 2.9319 2.9671 0.95648
0.38928 1.1106 0.72688 2.4967 5.8075 0.16762
0.48339 2.2559 0.70379 2.3611 5.3803 0.91614
0.50997 -0.073817 0.051759 3.0845 3.2372 0.40467
0.67327 0.80967 0.52478 3.083 4.9569 0.98842
0.43662 1.7705 0.76676 3.4316 5.2819 0.68148
0.3687 1.3441 0.30522 3.4367 3.5849 0.38498
1.1015 0.53296 0.57698 2.4104 4.483 0.41537
0.44705 5.7283 0.53309 2.3378 3.0538 0.042792
0.9237 0.84384 0.41303 2.2905 3.3286 0.45651
0.72521 2.9987 0.88962 3.1676 2.2145 0.98416
0.25898 0.98403 0.90815 3.3388 5.2402 0.5152
0.78303 1.7618 0.63708 3.1452 2.3269 0.67537
0.29957 1.4313 0.27882 3.2887 3.3908 0.81097
0.61343 1.7116 0.78036 3.3652 4.5746 0.40911
0.69891 -0.48461 0.26522 3.1056 2.8312 0.66745
0.52136 -1.9569 0.23009 2.4404 4.011 0.76453
0.56906 -1.2283 0.30068 3.1265 3.35 0.53202
0.6499 2.1588 0.88164 2.8669 4.5611 0.049214
0.92868 -0.47087 0.019379 2.2595 3.6468 0.95646
0.44204 2.6474 0.31857 2.4938 2.0788 0.7523
0.68809 0.93625 0.085308 3.0611 4.913 0.28151
0.62765 -0.65502 0.50189 2.3102 5.9298 0.5259
0.26791 -1.2764 0.25504 2.3116 4.0542 0.36766
0.81252 -0.49279 0.87721 2.7182 2.4122 0.52618
0.18567 0.0427 0.2148 2.9196 3.8196 0.35518
0.14834 -2.5962 0.35463 2.4491 4.363 0.65289
0.23757 0.54579 0.14599 3.173 3.1392 0.47702
0.68452 0.12016 0.23593 2.5035 3.5426 0.84179
0.46636 -0.085152 0.448 3.1203 5.3591 0.42626
0.69698 0.66511 0.0011617 3.1698 5.5155 0.44423
0.66728 -1.98 0.43102 2.2591 2.3871 0.79736
0.33722 0.93167 0.33954 2.4398 5.3598 0.28818
0.78521 4.1892 0.96242 3.1605 4.9745 0.95967
0.60701 2.2495 0.93463 3.0419 3.9517 0.51055
0.29139 3.2896 0.59852 3.1439 2.2714 0.45792
0.6358 3.0054 0.79506 3.2642 1.927 0.36193
0.5072 4.2016 0.9482 3.1555 5.4876 0.9368
0.74415 -0.51475 0.48152 2.9463 5.3486 0.67235
0.5079 -1.4613 0.80495 2.3762 3.2471 0.17922
0.80085 0.41069 0.82216 2.2707 3.2134 0.57757
0.35503 1.1926 0.090854 2.3268 2.2253 0.44792
0.56038 1.8358 0.18068 2.0972 3.0126 0.35108
0.5294 1.3921 0.27867 1.9683 4.3588 0.64105
0.60994 -1.3124 0.48766 3.5514 3.8169 0.4956
0.75008 2.2512 0.2489 2.057 4.0001 0.50583
0.24161 0.7272 0.83682 2.6308 4.1089 0.64975
0.24773 -2.7456 0.94265 2.2312 2.4817 0.33379
0.84885 -0.90694 0.31586 3.2036 4.6557 0.52269
0.71902 2.9305 0.31511 2.0463 5.3368 0.26037
1.0569 -0.39789 0.46335 3.063 4.7035 0.6494
0.92048 0.33783 0.14565 2.6979 1.5763 0.44756
0.49419 1.2828 0.57536 2.1773 4.9785 0.72626
0.40278 2.7244 0.68862 2.194 2.7205 0.15501
0.36396 3.3613 0.24761 3.226 2.7764 0.36486
0.14232 -0.8665 0.97445 2.0939 4.2309 0.72293
0.57316 2.5594 0.40842 3.2307 1.9828 0.63374
0.25237 -0.17223 0.91294 3.1205 5.7494 0.024461
0.26967 -2.0373 0.41116 3.2411 1.7765 0.27508
1.0083 2.0366 0.72878 3.1134 3.5997 0.10156
0.50793 -0.26535 0.63574 1.996 5.5351 0.055592
0.76237 -1.3697 0.30395 3.3216 4.4012 0.48057
0.42286 -1.4969 0.30859 2.6805 4.1087 0.45047
0.95524 2.3974 0.91389 2.2224 3.0288 0.38592
0.71787 1.4162 0.46969 2.1967 2.8762 0.46362
0.88033 0.98806 0.88525 3.0683 2.1381 0.18716
0.28265 1.6477 0.82325 2.5775 1.9251 0.58346
0.22579 5.5742 0.84998 3.3937 6.1717 0.45222
0.4755 2.7841 0.711 3.5117 5.8105 0.099564
0.5042 1.7121 0.97619 2.5837 4.2512 0.1743
0.57247 2.2978 0.69991 3.1703 5.6336 0.26521
0.76281 1.4655 0.26894 2.5077 3.3007 0.55306
0.34843 -0.017654 0.81132 2.1495 3.7636 0.34006
0.35162 2.8887 0.85653 3.2627 2.1548 0.51812
0.33908 0.69964 0.55975 2.5221 3.1189 0.49505
0.75766 -0.12885 0.26547 3.3154 4.2849 0.025815
0.78407 1.6023 0.091749 3.1555 3.953 0.65954
0.8801 0.53339 0.78453 2.4085 5.3637 0.6256
0.54906 1.1121 0.3039 2.1241 2.1433 0.70344
0.53767 -0.25929 0.68198 3.2403 5.4595 0.60803
0.56497 2.6311 0.61915 2.3999 2.7352 0.28418
0.25085 3.4088 0.67735 3.0014 3.0961 0.57254
0.30989 -0.013848 0.62387 2.5214 2.9316 0.45569
0.65012 3.7103 0.46934 2.9697 5.2054 0.48735
0.24718 -0.41796 0.84211 2.961 6.1382 0.018648
0.23402 1.8056 0.067071 2.4522 6.1483 0.72554
0.43474 -0.17747 0.59847 3.3207 5.3032 0.8727
0.3872 1.5309 0.94473 3.2262 3.2217 0.39062
0.53783 1.3503 0.78774 2.436 5.5827 0.52998
0.47918 -1.6978 0.98588 2.3841 6.282 0.29254
0.85476 3.5267 0.26334 2.4258 4.1537 0.83887
0.51529 1.9965 0.86426 2.2853 2.6297 0.27906
0.72039 0.95636 0.12615 2.3092 2.692 0.53664
0.14966 -1.6649 0.52793 2.8447 4.1124 0.79838
0.40656 1.4151 0.94332 2.2936 4.1351 0.15959
0.43551 3.1209 0.49996 2.9227 2.8066 0.3074
0.43863 0.5677 0.58261 3.1616 1.5859 0.49356
0.26048 -2.3764 0.66101 2.3872 2.1528 0.24196
0.6347 -1.1951 0.57672 3.2683 3.4766 0.64237
0.55199 1.6622 0.13569 2.0466 1.7099 0.61591
0.51414 -1.6612 0.51357 3.3104 2.1201 0.57813
0.28196 1.6858 0.50612 2.3044 5.5299 0.58867
0.54831 0.79938 0.49602 2.3156 4.5077 0.82166
0.60186 0.26884 0.93058 2.3611 5.5024 0.04201
0.29923 2.2465 0.80619 2.7017 2.5921 0.52696
0.38877 1.7027 0.93789 2.5571 5.8421 0.34955
0.6983 -0.60687 0.78194 3.0756 5.7568 0.35272
0.4194 -2.0343 0.60969 3.0576 4.9689 0.83432
0.47469 1.2622 0.88276 3.0353 5.527 0.98761
0.56288 1.7112 0.48579 2.3506 5.6144 0.48544
0.4565 1.8129 0.22813 2.0443 5.9962 0.33134
0.36257 -1.6135 0.66969 2.3581 2.2066 0.3048
0.6366 -0.73894 0.30633 2.2405 5.2227 0.042556
0.042486 0.91898 0.73586 2.312 5.1726 0.094283
0.74208 1.2559 0.96936 2.3953 1.6826 0.91018
0.67593 0.30057 0.27725 2.2049 3.6672 0.46455
0.24051 -1.0017 0.66951 2.0979 3.7789 0.77086
0.73794 2.8407 0.76261 2.5889 1.7005 0.19531
0.048867 0.13333 0.50216 2.4936 5.8731 0.28135
0.66609 1.0568 0.14323 2.5963 3.8659 0.34375
0.73219 2.0927 0.37608 3.2399 4.1089 0.92306
0.29165 2.448 0.46016 2.7717 4.836 0.13285
0.34113 3.571 0.79999 3.1646 4.1135 0.079546
0.32411 1.7136 0.010047 2.3263 6.1666 0.84469
0.2843 1.9541 0.59043 2.6395 4.252 0.48197
0.21585 1.8444 0.9181 2.6771 2.3371 0.44269
0.35498 -0.22294 0.57792 3.4145 4.0292 0.60082
0.59996 0.56651 0.011429 3.0946 3.0413 0.47125
0.16217 -1.5217 0.37281 2.2987 2.8682 0.56149
0.52519 4.861 0.29887 2.691 3.2827 0.094234
0.259 1.9933 0.23086 2.7229 5.1353 0.28864
0.84153 3.8528 0.74865 2.6085 2.4494 0.20804
0.75077 0.82257 0.57641 3.3831 3.4692 0.77629
0.30442 0.97145 0.83902 3.1818 5.8608 0.26476
0.24623 1.1897 0.064935 2.2778 1.5724 0.71676
0.34003 -0.88439 0.95311 2.9461 3.2177 0.16686
0.53244 -0.32035 0.61174 2.4426 3.676 0.75383
0.62625 0.12549 0.54956 3.792 2.7734 0.1563
0.28403 1.1693 0.68144 2.9722 6.1635 0.29391
0.43279 3.5959 0.45633 2.2982 3.1058 0.86385
0.56644 3.185 0.5903 2.6365 5.0342 0.55477
0.67257 4.1943 0.19016 3.2382 5.8156 0.65075
0.10823 2.9832 0.25907 2.2414 3.7454 0.91282
0.57053 2.2227 0.19343 3.3548 2.9767 0.68832
0.32741 3.2399 0.66477 1.9385 3.5275 0.57499
0.69913 0.27556 0.38936 2.052 4.9778 0.85877
0.23771 3.5079 0.37952 2.472 6.2738 0.54581
0.37661 2.4234 0.97653 2.261 3.2368 0.33718
0.78881 2.1208 0.5511 3.0675 5.4145 0.59575
0.69692 -0.19362 0.79113 3.1288 6.0599 0.94127
0.53305 -0.72983 0.098389 2.272 3.284 0.068644
0.49725 1.7232 0.86437 3.0516 3.2331 0.32543
0.26462 0.0039734 0.29084 3.1285 2.0696 0.15551
0.67503 -2.3815 0.28725 3.3474 2.624 0.1287
0.48126 1.5164 0.20273 2.1148 3.7964 0.32395
0.93565 -2.2021 0.38944 3.5093 2.9619 0.33603
0.46443 4.2506 0.31295 3.1245 5.6401 0.81086
0.33638 0.081301 0.31191 2.0634 4.1549 0.41869
0.40528 1.2022 0.12284 2.6005 2.0463 0.62095
0.52395 0.83841 0.94754 2.4788 4.1215 0.85318
0.18701 2.209 0.7279 2.5413 4.5289 0.45505
0.74899 2.7888 0.89588 2.3451 2.8248 0.59178
-0.12516 3.47 0.69999 3.2389 5.6834 0.19633
0.65311 -0.034121 0.89874 2.5815 4.7577 0.43725
0.59735 -0.31481 0.33714 2.1809 2.2911 0.785
1.0389 -3.4135 0.50587 2.075 4.1809 0.8626
0.61307 3.9735 0.026602 3.3506 6.2031 0.37593
0.5022 2.4154 0.24207 3.1689 2.6216 0.32288
0.44664 3.1098 0.80264 3.0732 3.2512 0.48495
0.48964 -3.1053 0.3354 2.2185 2.7357 0.67786
0.50266 2.4989 0.26449 2.4382 3.4029 0.52845
0.20026 4.4159 0.71655 3.3072 4.95 0.38784
0.71168 2.7061 0.42264 3.3042 5.409 0.042463
0.73349 -1.9191 0.33871 2.4444 5.8096 0.44226
0.76704 1.7659 0.49547 2.9103 3.6037 0.32442
0.50288 -1.0363 0.96673 3.391 1.9267 0.6122
0.52774 3.4241 0.1826 2.2883 3.0096 0.44056
0.45113 5.3994 0.81051 3.0384 2.0394 0.70694
0.89479 2.2673 0.073983 2.4457 2.0642 0.00090113
0.33247 -0.71306 0.17891 2.2081 6.1587 0.79192
0.33716 1.8515 0.83244 2.328 5.7778 0.50719
0.023901 -0.42572 0.57439 3.0054 4.5639 0.94158
0.6673 3.0223 0.61963 3.0894 4.6172 0.65431
0.5633 4.0354 0.15447 2.7187 5.7049 0.59204
0.60508 0.365 0.08616 2.4739 3.9922 0.57347
0.53729 -1.5556 0.81156 2.9393 4.2551 0.44604
0.43629 0.26941 0.16418 3.2515 4.9147 0.25084
0.47369 -0.23416 0.31675 2.172 4.4011 0.089216
0.44687 1.2345 0.35275 3.379 6.2805 0.43544
0.39859 -1.4611 0.86712 2.9472 4.9632 0.39826
0.48073 0.93119 0.46068 2.6997 4.1414 0.90036
0.30967 2.3901 0.97197 3.1337 4.6549 0.46074
0.44344 2.0034 0.96877 2.3309 5.8527 0.59267
0.88305 1.2971 0.54046 2.244 2.5288 0.61722
0.81302 0.19827 0.65679 3.1294 5.1139 0.32682
0.3944 0.33706 0.99902 3.1925 3.2306 0.29609
0.62345 1.7681 0.047005 2.2796 5.483 0.89623
0.71076 0.63702 0.0016312 2.687 2.539 0.64171
0.80581 -1.4188 0.67793 3.2435 4.9811 0.56943
0.35521 5.6825 0.81134 2.572 4.2264 0.60822
0.2787 2.4516 0.63655 3.0997 2.3052 0.29806
0.55051 1.8344 0.98038 2.2757 6.1873 0.3671
0.28496 -0.68576 0.20316 3.3209 2.7921 0.59116
0.72898 1.6433 0.41475 2.1949 5.3089 0.020099
0.50156 2.7149 0.39599 3.1173 3.8164 0.77334
0.63883 5.9363 0.75666 2.4699 6.2185 0.47422
0.26075 4.5691 0.98828 2.2791 5.6882 0.4198
0.82362 -1.229 0.34548 3.1008 5.1341 0.37085
0.20803 -0.62772 0.042299 3.1761 5.6931 0.45782
0.75726 -0.66212 0.27159 3.0681 1.7335 0.16761
0.38387 2.0127 0.55576 2.3133 4.2462 0.30651
0.56744 -2.798 0.69959 3.1015 5.7104 0.23751
0.91044 1.201 0.7858 2.1162 4.9792 0.94976
0.35846 1.9965 0.60499 2.3693 2.3398 0.70761
0.58647 -0.6785 0.29513 2.5711 4.189 0.51901
0.5006 2.7581 0.82008 3.368 4.2519 0.51329
0.0095839 2.2968 0.15791 3.2853 3.7413 0.34727
0.67316 3.3299 0.40721 2.6782 3.8952 0.076428
0.82489 3.4707 0.6365 2.5533 5.684 0.91854
0.55653 5.8915 0.53893 2.0492 2.4059 0.5887
0.59962 -0.67837 0.98377 3.1327 2.9062 0.58898
0.99165 -3.6499 0.008599 3.1477 4.6932 0.4915
0.81869 2.5951 0.094405 3.2705 3.0171 0.2885
0.28861 1.4041 0.53594 3.1606 5.7567 0.10184
0.6809 0.33418 0.00021885 2.2429 4.1807 0.56353
0.44524 3.2171 0.47298 2.9821 4.0523 0.44856
0.64568 1.6804 0.95614 3.3087 4.253 0.53087
0.36592 0.62294 0.74533 3.2433 5.6273 0.71755
0.85683 -2.1537 0.23125 3.255 2.6452 0.4856
-0.06607 4.5258 0.44977 2.2904 4.0899 0.41016
0.47675 -1.7532 0.14957 2.6116 2.1481 0.97566
0.17792 2.6577 0.086039 2.9041 3.6169 0.45844
0.47069 4.0929 0.93241 2.1331 4.3202 0.5498
0.61559 3.7559 0.145 3.1351 1.6742 0.93589
0.76556 0.63141 0.88049 3.2881 3.846 0.24674
0.82923 2.9523 0.36929 3.1331 6.0834 0.40798
0.51891 7.9557 0.18106 2.2979 3.809 0.58539
-0.018379 2.0941 0.074645 2.3047 2.2587 0.45415
0.67733 3.6562 0.27698 3.0689 5.3846 0.40284
0.41902 3.1245 0.34785 2.1959 2.2963 0.52552
0.63162 1.7757 0.11925 3.2154 4.1485 0.74253
0.61165 -1.3137 0.24935 2.2266 5.8998 0.12017
0.66789 4.3001 0.53097 3.0464 6.1402 0.91944
0.5677 2.4107 0.1238 2.177 4.8237 0.81628
0.38857 1.7837 0.23817 2.3016 5.3953 0.60184
0.38496 -0.18324 0.39673 2.9344 5.384 0.8545
0.99959 4.166 0.68888 3.1935 2.952 0.53576
0.010924 1.4141 0.42556 2.3416 6.1973 0.46625
0.41198 -3.5592 0.19188 3.1868 5.4565 0.54937
0.37463 0.21924 0.77178 2.2721 3.2084 0.35593
0.55302 2.5439 0.73147 3.2344 2.5574 0.10402
0.55104 1.4522 0.70284 2.1526 2.5861 0.17419
0.96652 -0.72436 0.033901 2.4238 3.0309 0.19395
0.32867 -1.4497 0.60344 2.3746 1.7851 0.46147
0.56352 -3.7047 0.1542 2.8167 4.1277 0.0095235
0.5896 2.5279 0.2099 3.128 3.9924 0.36724
0.12798 5.4091 0.85968 3.3897 5.6964 0.81571
0.43822 3.0597 0.21471 3.6588 2.5046 0.50198
0.53933 1.7115 0.68891 2.2424 3.2909 0.4857
0.22064 3.6141 0.18096 2.995 3.2871 0.71809
0.23617 -0.77291 0.70202 3.3396 2.6923 0.53878
0.24829 -0.61955 0.25947 2.874 2.9439 0.51905
0.38349 -0.043908 0.15332 2.3747 3.979 0.0052506
0.63449 0.9931 0.27731 2.3856 4.0306 0.48777
0.204 4.2734 0.64865 2.4794 4.1348 0.40678
0.59754 1.6009 0.23578 2.875 3.2258 0.94395
0.62231 0.13224 0.85014 2.9955 4.9497 0.37074
0.27947 1.5388 0.40629 2.4043 3.9268 0.11647
0.58242 -2.3097 0.80178 2.9219 3.7935 0.048988
0.64074 4.3392 0.92246 3.2409 4.0356 0.46161
0.87824 -0.93704 0.48447 2.2279 4.5595 0.42384
0.06167 0.37451 0.22588 3.0511 4.258 0.38904
0.44453 2.7926 0.86405 2.803 3.7299 0.30748
0.20178 -2.1087 0.65627 3.3572 2.0132 0.72119
0.71821 3.3248 0.28511 2.3803 2.0616 0.42902
-0.016688 2.1589 0.38027 2.2079 2.4179 0.62745
0.28582 0.39421 0.065641 2.6283 3.2453 0.2188
0.2512 2.8038 0.034333 3.0025 5.891 0.021473
0.71418 2.2776 0.40672 2.7853 2.8643 0.46501
0.28348 3.3878 0.055377 2.7347 2.6247 0.84004
0.54822 2.2239 0.16587 2.493 6.1948 0.11259
0.66416 -1.0725 0.082192 3.4296 6.0959 0.36356
0.46316 2.1364 0.79645 3.084 5.5044 0.55064
